product_category_name,Số đơn,Tổng doanh thu,TB doanh thu,Độ lệch chuẩn,Min,Max
"cama_mesa_banho,cool_stuff",8,2212.85,276.61,350.54,82.89,1130.52
la_cuisine,11,2142.98,194.82,88.9,105.0,389.0
"beleza_saude,perfumaria",11,2059.71,187.25,122.78,39.4,434.16
"moveis_decoracao,moveis_sala",7,2037.26,291.04,205.12,93.89,614.9
"ferramentas_jardim,utilidades_domesticas",11,2023.05,183.91,43.91,117.89,277.53
fashion_esporte,24,1994.62,83.11,53.83,24.99,225.0
"cama_mesa_banho,nan",6,1993.06,332.18,418.38,73.7,1179.92
"esporte_lazer,relogios_presentes",4,1969.4,492.35,277.63,80.9,659.9
"eletronicos,informatica_acessorios",5,1905.36,381.07,353.32,48.79,948.19
artes_e_artesanato,20,1766.23,88.31,75.31,11.9,289.49
"construcao_ferramentas_iluminacao,esporte_lazer",2,1764.0,882.0,190.92,747.0,1017.0
"construcao_ferramentas_construcao,ferramentas_jardim",5,1680.69,336.14,242.14,102.89,667.0
"bebes,moveis_decoracao",11,1626.1,147.83,37.21,98.0,213.5
"beleza_saude,cama_mesa_banho",11,1617.8,147.07,148.13,48.6,479.77
"construcao_ferramentas_iluminacao,construcao_ferramentas_jardim",1,1569.8,1569.8,,1569.8,1569.8
"casa_construcao,ferramentas_jardim",6,1542.19,257.03,188.82,96.95,624.19
"informatica_acessorios,nan",1,1519.46,1519.46,,1519.46,1519.46
"casa_construcao,construcao_ferramentas_seguranca",2,1501.4,750.7,41.3,721.5,779.9
fraldas_higiene,25,1500.79,60.03,35.32,30.0,139.89
"esporte_lazer,utilidades_domesticas",10,1489.73,148.97,102.96,48.8,357.13
"moveis_decoracao,pcs",1,1467.8,1467.8,,1467.8,1467.8
"brinquedos,cool_stuff",6,1395.36,232.56,267.15,52.1,749.8
pc_gamer,6,1306.95,217.82,121.16,129.99,438.0
"cama_mesa_banho,moveis_escritorio",4,1226.74,306.68,144.65,105.98,449.88
"eletronicos,telefonia",2,1219.96,609.98,811.77,35.97,1183.99
"casa_conforto,moveis_decoracao",5,1155.45,231.09,104.82,61.0,335.0
"beleza_saude,cool_stuff",2,1154.49,577.24,618.51,139.89,1014.6
"cama_mesa_banho,market_place",1,1116.0,1116.0,,1116.0,1116.0
"malas_acessorios,papelaria",5,1084.26,216.85,86.05,149.7,358.16
"moveis_decoracao,relogios_presentes",6,1051.55,175.26,101.36,62.89,347.18
"beleza_saude,moveis_decoracao",3,1039.34,346.45,349.42,129.8,749.55
"informatica_acessorios,telefonia",6,1027.07,171.18,257.46,32.89,694.0
flores,27,1023.34,37.9,25.01,15.6,109.8
"beleza_saude,eletroportateis",1,1015.0,1015.0,,1015.0,1015.0
"eletroportateis,utilidades_domesticas",1,968.8,968.8,,968.8,968.8
"construcao_ferramentas_seguranca,cool_stuff",2,966.81,483.4,51.53,446.97,519.84
"papelaria,utilidades_domesticas",4,963.2,240.8,199.47,25.8,503.7
"esporte_lazer,nan",5,920.97,184.19,83.24,77.99,274.9
"artes,moveis_decoracao",5,867.75,173.55,100.45,40.5,301.48
"beleza_saude,papelaria",4,847.0,211.75,92.93,97.5,322.7
"automotivo,utilidades_domesticas",2,826.8,413.4,191.63,277.9,548.9
"moveis_escritorio,moveis_sala",3,823.79,274.6,4.03,269.94,276.93
"casa_construcao,eletronicos",1,819.8,819.8,,819.8,819.8
"bebes,utilidades_domesticas",5,807.9,161.58,82.07,67.15,266.67
"bebes,ferramentas_jardim",4,804.8,201.2,63.15,133.8,281.6
"cool_stuff,relogios_presentes",2,786.78,393.39,6.24,388.98,397.8
"moveis_decoracao,perfumaria",2,785.99,393.0,502.05,37.99,748.0
"bebidas,beleza_saude",3,784.98,261.66,209.37,23.98,418.8
"cool_stuff,telefonia",5,778.3,155.66,92.94,63.48,307.99
"brinquedos,papelaria",6,762.81,127.14,80.63,50.25,238.99
casa_conforto_2,22,747.37,33.97,47.18,12.9,219.99
"cool_stuff,informatica_acessorios",4,739.63,184.91,74.11,79.89,252.85
cds_dvds_musicais,12,730.0,60.83,16.63,45.0,90.0
"automotivo,informatica_acessorios",4,726.18,181.54,198.27,57.79,477.62
"esporte_lazer,moveis_escritorio",2,689.57,344.78,304.18,129.7,559.87
"eletroportateis,esporte_lazer",1,676.0,676.0,,676.0,676.0
"moveis_sala,nan",1,666.89,666.89,,666.89,666.89
"beleza_saude,brinquedos",1,662.99,662.99,,662.99,662.99
"eletronicos,relogios_presentes",2,648.77,324.38,77.19,269.8,378.97
"cama_mesa_banho,ferramentas_jardim",3,626.29,208.76,90.43,123.79,303.8
"beleza_saude,relogios_presentes",3,618.9,206.3,144.32,72.0,358.9
"fashion_bolsas_e_acessorios,nan",9,614.6,68.29,29.35,26.6,129.5
"automotivo,esporte_lazer",3,567.7,189.23,79.13,125.8,277.9
"cool_stuff,moveis_decoracao",4,567.06,141.76,93.7,69.8,274.98
"industria_comercio_e_negocios,moveis_decoracao",2,557.6,278.8,114.55,197.8,359.8
"cama_mesa_banho,moveis_decoracao,moveis_escritorio",1,548.7,548.7,,548.7,548.7
"cool_stuff,tablets_impressao_imagem",2,546.8,273.4,163.34,157.9,388.9
"beleza_saude,utilidades_domesticas",1,509.0,509.0,,509.0,509.0
"brinquedos,cama_mesa_banho",2,489.79,244.9,141.43,144.89,344.9
"informatica_acessorios,utilidades_domesticas",4,489.44,122.36,40.6,65.15,156.49
"moveis_decoracao,moveis_escritorio",2,455.86,227.93,17.01,215.9,239.96
"industria_comercio_e_negocios,utilidades_domesticas",1,444.0,444.0,,444.0,444.0
"bebes,cama_mesa_banho,cool_stuff",1,441.89,441.89,,441.89,441.89
"esporte_lazer,perfumaria",3,440.03,146.68,84.46,49.23,198.9
fashion_roupa_infanto_juvenil,5,439.97,87.99,28.64,39.99,110.0
"brinquedos,esporte_lazer",3,437.77,145.92,86.78,82.89,244.9
"nan,pet_shop",4,428.36,107.09,48.86,59.98,169.6
"esporte_lazer,ferramentas_jardim",3,412.7,137.57,91.0,33.4,201.6
"automotivo,construcao_ferramentas_construcao",3,410.36,136.79,97.15,63.53,246.99
"perfumaria,relogios_presentes",1,407.98,407.98,,407.98,407.98
"brinquedos,moveis_sala",1,399.9,399.9,,399.9,399.9
"alimentos,eletronicos",1,398.6,398.6,,398.6,398.6
"nan,papelaria",2,381.77,190.88,186.57,58.96,322.81
"automotivo,bebes",2,380.55,190.28,133.48,95.89,284.66
"moveis_decoracao,moveis_quarto",1,375.34,375.34,,375.34,375.34
"market_place,moveis_decoracao",2,372.0,186.0,1.41,185.0,187.0
"informatica_acessorios,moveis_escritorio",1,369.89,369.89,,369.89,369.89
"eletronicos,ferramentas_jardim",1,359.8,359.8,,359.8,359.8
"bebes,construcao_ferramentas_iluminacao",1,359.65,359.65,,359.65,359.65
"instrumentos_musicais,moveis_decoracao",1,357.99,357.99,,357.99,357.99
"ferramentas_jardim,relogios_presentes",2,357.8,178.9,107.62,102.8,255.0
"alimentos,beleza_saude",3,347.89,115.96,45.8,79.9,167.49
"automotivo,cool_stuff",2,344.32,172.16,4.95,168.66,175.66
"cama_mesa_banho,construcao_ferramentas_iluminacao,ferramentas_jardim",1,339.65,339.65,,339.65,339.65
